contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,symbol,type
NDXP251212C26850000,2025-11-13 16:26:12+00:00,26850.0,79.7,56.9,62.7,0.0,0.0,,3.0,0.19948615463256836,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C26875000,2025-11-14 19:57:17+00:00,26875.0,66.07,54.3,59.9,0.0,0.0,1.0,0.0,0.19899787826538085,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C27000000,2025-11-14 18:35:40+00:00,27000.0,52.74,43.0,48.3,-10.509998,-16.616598,6.0,31.0,0.19754067848205567,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C27050000,2025-11-13 16:26:12+00:00,27050.0,58.0,39.1,44.3,0.0,0.0,,2.0,0.1970638460922241,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C27100000,2025-11-13 16:06:33+00:00,27100.0,54.1,35.6,40.6,0.0,0.0,2.0,3.0,0.19661371631622315,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C27125000,2025-11-14 19:57:17+00:00,27125.0,42.72,34.1,38.9,0.0,0.0,1.0,0.0,0.19644777864456178,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C27200000,2025-11-11 16:29:06+00:00,27200.0,63.75,29.4,34.2,0.0,0.0,,3.0,0.19600909284591675,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C27300000,2025-11-11 16:29:06+00:00,27300.0,54.45,24.5,28.8,0.0,0.0,,3.0,0.19557994369506837,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C27400000,2025-11-11 14:55:46+00:00,27400.0,50.79,20.3,24.4,0.0,0.0,,6.0,0.19553988977432252,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C27500000,2025-11-14 16:17:57+00:00,27500.0,25.06,17.0,20.8,-18.569998,-42.562454,5.0,7.0,0.1958355258560181,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C27525000,2025-11-14 16:17:57+00:00,27525.0,24.15,16.2,20.0,-17.65,-42.22488,4.0,1.0,0.19594996562957762,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C27650000,2025-11-10 19:30:55+00:00,27650.0,42.35,13.0,16.5,0.0,0.0,,1.0,0.1966938241577148,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C27700000,2025-10-31 15:13:16+00:00,27700.0,142.2,11.9,15.3,0.0,0.0,6.0,7.0,0.19706003143310546,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C27800000,2025-11-07 17:10:59+00:00,27800.0,17.55,10.0,13.3,0.0,0.0,1.0,2.0,0.19817391189575195,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C27900000,2025-11-13 16:01:07+00:00,27900.0,15.95,8.4,11.5,0.0,0.0,1.0,3.0,0.199127576675415,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C28000000,2025-11-14 15:23:32+00:00,28000.0,10.6,7.0,10.1,-3.3499994,-24.014334,1.0,8.0,0.2005695178222656,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C28100000,2025-11-11 20:43:35+00:00,28100.0,20.27,5.9,8.9,0.0,0.0,1.0,6.0,0.20209538146972655,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C28200000,2025-11-06 16:10:53+00:00,28200.0,19.1,5.0,7.8,0.0,0.0,5.0,1.0,0.2034457707977295,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C28300000,2025-11-06 16:18:08+00:00,28300.0,16.85,4.2,6.9,0.0,0.0,,2.0,0.20504029830932613,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C28400000,2025-11-05 17:44:16+00:00,28400.0,25.2,3.5,6.2,0.0,0.0,,5.0,0.20704680900573727,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C28500000,2025-11-06 17:36:10+00:00,28500.0,13.5,2.95,5.5,0.0,0.0,,2.0,0.20866422447204583,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C28700000,2025-11-11 20:43:35+00:00,28700.0,9.63,2.05,4.5,0.0,0.0,,2.0,0.21284509086608885,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C28800000,2025-11-07 19:35:47+00:00,28800.0,5.57,1.7,4.1,0.0,0.0,2.0,2.0,0.21506522247314452,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C28900000,2025-11-14 20:11:50+00:00,28900.0,3.3,1.4,3.8,-10.5,-76.08696,1.0,2.0,0.21767444931030272,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C29000000,2025-10-31 17:44:53+00:00,29000.0,24.1,1.15,3.5,0.0,0.0,5.0,6.0,0.220085313873291,False,REGULAR,USD,2025-12-12,^NDX,calls
NDXP251212C29500000,2025-11-06 17:43:50+00:00,29500.0,4.3,0.35,2.55,0.0,0.0,3.0,4.0,0.23383334533691402,False,REGULAR,USD,2025-12-12,^NDX,calls
