contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiration,symbol,type
NDXP260331C24500000,2025-10-10 16:48:44+00:00,24500.0,1734.0,1665.4,2252.0,0.0,0.0,3.0,12,0.3289990768671035,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C24600000,2025-09-30 19:34:13+00:00,24600.0,1673.88,1600.0,2200.0,0.0,0.0,19.0,28,0.32860712064266195,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C24700000,2025-10-27 18:59:45+00:00,24700.0,2319.5,1600.0,2200.0,0.0,0.0,1.0,25,0.33670564195156094,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C24800000,2025-10-31 19:41:51+00:00,24800.0,2419.9,1558.0,1930.5,0.0,0.0,1.0,8,0.3000906364011764,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C24900000,2025-04-10 16:22:46+00:00,24900.0,128.4,303.0,343.4,0.0,0.0,,6,0.0468120527267456,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C25000000,2025-11-06 19:15:01+00:00,25000.0,1800.4,1434.0,1820.9,0.0,0.0,1.0,4,0.29762016778945916,True,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C25100000,2025-04-10 16:31:33+00:00,25100.0,115.9,274.0,311.8,0.0,0.0,,25,0.05803644876718521,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C25200000,2025-10-03 13:56:44+00:00,25200.0,1476.25,1346.1,1714.0,0.0,0.0,2.0,23,0.29504145822525024,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C25400000,2025-10-03 13:56:44+00:00,25400.0,1361.55,1208.8,1600.0,0.0,0.0,2.0,3,0.2907442447280883,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C25500000,2025-10-03 14:01:52+00:00,25500.0,1290.4,1313.9,1383.3,0.0,0.0,1.0,3,0.2622439727878571,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C25600000,2025-10-27 18:52:59+00:00,25600.0,1704.45,1259.4,1328.3,0.0,0.0,,16,0.2600381461524964,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C25800000,2025-10-27 18:52:59+00:00,25800.0,1580.76,1154.2,1221.9,0.0,0.0,,16,0.25572257460832604,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C26000000,2025-08-08 13:36:43+00:00,26000.0,566.4,853.1,863.4,0.0,0.0,1.0,1,0.2085803019714355,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C26200000,2025-09-29 18:44:32+00:00,26200.0,823.3,959.0,1024.6,0.0,0.0,1.0,2,0.24759425127506257,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C26400000,2025-10-10 16:48:44+00:00,26400.0,779.22,869.4,933.7,0.0,0.0,8.0,12,0.24375384320735932,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C26500000,2025-11-07 20:13:20+00:00,26500.0,870.0,826.7,890.4,0.0,0.0,1.0,16,0.24192185316562653,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C26600000,2025-09-02 13:30:20+00:00,26600.0,253.11,0.0,0.0,0.0,0.0,1.0,0,0.015634843750000002,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C26800000,2025-10-15 15:15:10+00:00,26800.0,736.2,706.9,768.5,0.0,0.0,,1,0.2366743127155304,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C27000000,2025-11-04 17:33:41+00:00,27000.0,909.2,634.0,693.9,0.0,0.0,1.0,5,0.23338679180383684,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C27200000,2025-10-23 18:07:07+00:00,27200.0,583.1,566.7,624.1,0.0,0.0,2.0,19,0.2301789019012451,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C27400000,2025-10-22 16:30:08+00:00,27400.0,474.5,505.1,560.8,0.0,0.0,3.0,31,0.22738895558834077,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C27500000,2025-11-07 14:35:17+00:00,27500.0,513.84,476.3,530.8,0.0,0.0,1.0,6,0.22601043314933775,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C28000000,2025-11-14 17:16:34+00:00,28000.0,406.75,355.9,395.2,11.350006,2.8705125,1.0,2,0.2189111141133308,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C28500000,2025-11-14 17:16:34+00:00,28500.0,301.7,256.7,294.9,6.3000183,2.1327076,1.0,7,0.21445153918743134,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C29000000,2025-11-07 14:35:17+00:00,29000.0,215.68,193.7,209.1,0.0,0.0,1.0,2,0.2083838470268249,False,REGULAR,USD,2026-03-31,^NDX,calls
NDXP260331C29500000,2025-11-13 16:07:18+00:00,29500.0,167.3,138.7,154.3,0.0,0.0,3.0,10,0.2064479075241088,False,REGULAR,USD,2026-03-31,^NDX,calls
